"tweet_id","type","probability","text"
1331986432177680386,"Place",0.9984,"Canada"
1331986432177680386,"Person",0.9932,"Doug Ford"
1331982159830077440,"Place",0.8863,"U.S."
1331982159830077440,"Organization",0.6763,"CBC News"
1331981235737030663,"Place",0.9979,"Canada"
1331980611880366083,"Organization",0.5998,"N.B."
1331979356198068225,"Place",0.9216,"Canada"
1331978999656943616,"Place",0.9785,"Ontario"
1331976451147653120,"Place",0.6852,"Alberta"
1331975326658859009,"Place",0.9949,"Toronto"
1331974124105654272,"Person",0.6863,"Lisa Lisson"
1331974124105654272,"Organization",0.5675,"FedEx Canada"
1331970526382788610,"Place",0.7729,"Adamson Barbecue"
1331970526382788610,"Person",0.6572,"Mayor Tory"
1331970123780009984,"Place",0.7349,"Toronto"
1331968333521047554,"Place",0.9839,"Canada"
1331967953294782466,"Place",0.9649,"Ontario"
1331967953294782466,"Place",0.9394,"Toronto"
1331964321656492032,"Other",0.9922,"Thanksgiving"
1331964321656492032,"Place",0.9971,"Canada"
1331964321656492032,"Person",0.3419,"Covid"
1331964321656492032,"Other",0.9897,"Thanksgiving"
1331960047274844163,"Place",0.9489,"Canada"
1331959532730408965,"Place",0.9809,"Canada"
1331959532730408965,"Place",0.9045,"Canada"
1331958606825205760,"Place",0.5341,"US"
1331958606825205760,"Place",0.9949,"Canada"
1331958606825205760,"Place",0.55,"Covid"
1331958606825205760,"Person",0.9953,"Trump"
1331953104720437249,"Place",0.9181,"Atlantic Canada"
1331952022275334144,"Place",0.9052,"Ontario"
1331952022275334144,"Organization",0.9283,"Costco"
1331952022275334144,"Place",0.8062,"Manitoba"
1331950939616534528,"Organization",0.6033,"N.B."
1331950939616534528,"Organization",0.8769,"CBC News"
1331948018137001988,"Place",0.941,"Ontario"
1331948018137001988,"Place",0.7386,"Covid"
1331948018137001988,"Person",0.6679,"Minister Prabmeet Sarkaria"
1331945475436666889,"Organization",0.5561,"Public Health"
1331945319181979654,"Organization",0.3859,"Health Canada"
1331943778945417216,"Place",0.9956,"Canada"
1331938495485632512,"Place",0.9871,"Canada"
1331933000649596928,"Organization",0.5774,"N.B."
1331929614671724544,"Place",0.9828,"Canada"
1331926883513069568,"Person",0.4466,"Lisa Lisson"
1331903544358699008,"Person",0.6977,"Lisa Lisson"
1331903544358699008,"Organization",0.5656,"FedEx Canada"
1331884504324202496,"Organization",0.8416,"Pentagon"
1331884490336186369,"Place",0.6174,"New York Gov"
1331884490336186369,"Person",0.9194,"Cuomo"
1331884490336186369,"Place",0.2859,"Covid"
1331884488679415810,"Organization",0.3695,"CDC"
1331884488679415810,"Person",0.3735,"Covid"
1331884481842712576,"Organization",0.6196,"Pfizer"
1331884479116414976,"Organization",0.7602,"New York Gov"
1331884479116414976,"Person",0.998,"Andrew Cuomo"
1331877375232139274,"Organization",0.3496,"Waymo"
1331877375232139274,"Organization",0.4675,"Covid"
1331869659121938432,"Place",0.8938,"Canada"
1331860640789630979,"Place",0.8963,"U.S."
1331860640789630979,"Organization",0.7335,"CBC News"
1331849379066515456,"Place",0.6498,"UK"
1331849379066515456,"Place",0.793,"US"
1331849379066515456,"Place",0.9854,"Canada"
1331849379066515456,"Organization",0.858,"Bloomberg"
1331826781188476928,"Place",0.9978,"Canada"
1331825155790823425,"Place",0.9883,"Canada"
1331825155790823425,"Place",0.9898,"Canada"
1331821034098413568,"Person",0.8545,"Trudeau"
1331821034098413568,"Place",0.9997,"Canada"
1331821034098413568,"Person",0.693,"Kenney"
1331800092362194944,"Place",0.5478,"EU"
1331800092362194944,"Place",0.9613,"UK"
1331800092362194944,"Place",0.9824,"Australia"
1331800092362194944,"Place",0.9832,"Canada"
1331800092362194944,"Place",0.9847,"Japan"
1331797317557440512,"Place",0.9278,"Canada"
1331797317557440512,"Organization",0.7314,"AstraZeneca"
1331790777756889090,"Place",0.815,"Alberta"
1331785668612251648,"Organization",0.5548,"N.B."
1331785555944804354,"Person",0.8843,"Adam"
1331785555944804354,"Organization",0.5641,"McDonalds"
1331785555944804354,"Place",0.9955,"Toronto"
1331782041701134336,"Organization",0.61,"N.B."
1331777936119246851,"Place",0.9107,"Canada"
1331777936119246851,"Place",0.4648,"COVID"
1331776832518045696,"Place",0.9938,"Canada"
1331776832518045696,"Place",0.9899,"America"
1331776091241943040,"Place",0.9896,"Canada"
1331761820135268357,"Place",0.4841,"Ontario"
1331759495551221760,"Place",0.9847,"Canada"
1331759495551221760,"Place",0.937,"North Korea"
